	text	sentiment
548	As the light begins to intensify, so does my misery, and I wonder how it is possible to hurt so much when nothing is wrong.	sad
549	This is the end of the line.	angry
550	I appreciate you.	happy
551	If someone you love hurts you cry a river, build a bridge, and get over it.	sad
552	I wonder if you know what you are doing to me…	sad
553	I’m hungry, but I can’t eat, I’m tired, but I can’t sleep, I’m sad, but I cannot cry, suicidal but I can’t die.That’s called real Depression.	sad
554	You have a great sense of style.	happy
555	I will not be alright any day.	sad
556	t’s better to be lonely then to be played by wrong people.	sad
557	"When you say, ""I meant to do that,"" I totally believe you."	happy
558	You have one foot in your mouth already. You should probably try for a second.	sar
559	Missing someone is your heart’s way of reminding you that you love them.	sad
560	Don't try that stunt on me again.	angry
561	TAKE BACK YOUR COMMENT.	angry
562	You're so thoughtful.	happy
563	I am leaving.	angry
564	One second…oh okay found it… Here is my cellphone, call someone who cares…	sar
565	I’m not okay, I’m just good at pretending I am.	sad
566	I’m sorry, I didn’t know you were in charge? See I didn’t get the memo.	sar
567	Instead of wiping your tears, wipe away the people who create them.	sad
568	You sound good every time you talk, and much better with your mouth closed.	sar
569	Our community is better because you're in it.	happy
570	Drop dead	angry
571	At some point, you have to realize that some people can stay in your heart but not in your life.	sad
572	Last time I checked I didn’t ask for your opinion.	sar
573	You have a very strong grasp of the obvious.	sar
574	You always know -- and say -- exactly what I need to hear when I need to hear it.	happy
575	Has anyone ever told you that you have great posture?	happy
576	You are the most perfect you there is.	happy
577	Sometimes pain is so unmanageable that the idea of spending another day with it seems impossible. Other times pain acts as a compass to help you through the messier tunnels of growing up. But pain can only help you find happiness if you remember it.	sad
578	My life is a nightmare.	sad
579	If you look like your passport picture, you probably need the trip.	sar
580	You do it to yourself… and that’s why it really hurts.	sad
581	Mind your language.	angry
582	You’re a gift to everyone you meet.	happy
583	Eat shit.	angry
584	You’re almost funny.	sar
585	Sometimes I want to not exist.	sad
586	Be patient and tough; some day this pain will be useful to you.	sad
587	I did everything right for someone that does everything wrong..	sad
588	Everything seems brighter when you are around.	happy
589	fuck you.	angry
590	A marriage is no amusement but a solemn act, and generally a sad one.	sad
591	I just got off the phone with Satan…he told me that he has a special seat in hell with your name on it.	sar
592	You’re so beautiful and blooming today..Happy Halloween !	sar
593	That’s a pretty dress…too bad you couldn’t find it in your size.	sar
594	Since you’re so great, I might as well ask for advice.	sar
595	I am really glad we met.	happy
596	I’m just trying to say that it should reassure us that the inevitable traumas of being human to do end up producing some good. Otherwise, the human condition is overwhelmingly depressing all the time.	sad
597	I'm inspired by you.	happy
598	Sarcasm is the body’s natural defense against stupidity.	sar
599	You are enough.	happy
600	You’re scared because you don’t understand… I’m scared because I do.	sad
601	Never put your happiness in someone else’s hands…	sad
602	I had a slight headache, then you my friend, just turned it into a migraine. Thank you very much.	sar
603	He was happily married – but his wife wasn’t.	sar
604	You’re only jealous cos the voices don’t talk to you.	sar
605	The details of your incompetence does not interest me !	sar
606	Bitch at least I still remember planetary motion. The world revolves around the sun.	sar
607	I bet you do the crossword puzzle in ink.	happy
608	Oh, you deleted me on Facebook. Is that your final revenge? What’s next… You throw a fruit loop at the back of my head and expect it to hurt?	sar
609	You always find something special in the most ordinary things.	happy
610	You just glow.	happy
611	I sleep to escape from reality.	sad
612	You sound more intelligent with your mouth shut.	sar
613	Tell me how I have upset you, because I want to know how to do it again.	sar
614	I will wait for you till the day I can forget you or till the day you realize you cannot forget me.	sad
615	So it seems a certain person believes that I have a problem with sarcasm. Well thank you Captain Obvious for that startling revelation!	sar
616	You're an awesome friend.	happy
617	On a scale from 1 to 10, you're an 11.	happy
618	Stop poking your nose into my business.	angry
619	You're great at figuring stuff out.	happy
620	WHO THE HELL ARE YOU?	angry
621	I for one will never do something like this.	angry
622	You have cute elbows. For reals!	happy
623	Never ever ever ever say something like that to me ever again.	angry
624	On the other hand, you have different fingers.	sar
625	Yes I missed you, but if you come closer my aim is about to get better.	sar
626	If you wrote down every single thought you ever had you would get an award for the shortest story ever	sar
627	I’m sorry while you were talking I was trying to figure where the hell you got the idea I cared.	sar
628	People say sarcasm is the lowest form of wit… And that comes from the people who don’t understand it.	sar
629	Don't try that assault on me again.	angry
630	No one knows how unhappy I am.	sad
631	You're more fun than bubble wrap.	happy
632	Jokes are funnier when you tell them.	happy
633	Oh, I’m sorry. Were you under the impression that I value your opinion?	sar
634	Don’t bother me. I’m trying to give a damn about what you just said.	sar
635	The only thing worse then being hated is being ignored.	sad
636	Depression never arrives alone in Life. It brings its friends with it despair, self-injury, and suicidal Thoughts.	sad
637	I’m smiling…that alone should scare you.	sar
638	You can’t face the problem if the problem is your face.	sar
639	You’re unique just like everyone else!	sar
640	Stop disrespecting me.	angry
641	You have no one to blame but yourself…Unless some other guy is standing next to you then you can blame him.	sar
642	I am sad	sad
643	I guess that’s what saying good-bye is always like–like jumping off an edge. The worst part is making the choice to do it. Once you’re in the air, there’s nothing you can do but let go.	sad
644	That sounds so cool! It’s a shame I’m not interested…	sar
645	Everyday is a bad day for me	sad
646	Shut up!	angry
647	How can I miss you if you won’t go away?	sar
648	Ugliness can be fixed, stupidity is forever.	sar
649	The only thing to fear is fear itself and what 9 out of 10 doctors would prescribe.	sar
650	If I had a dollar for every smart thing you said…wait no, then I’d be in debt!	sar
651	I’m not crazy! The voices tell me I am entirely sane…	sar
652	I cannot deal with this.	angry
653	I feel my hopes are in vain.	sad
654	I don’t know if it’s possible to take hate away from people. Not even people like us, who’ve seen firsthand what hate can do. We’re all hurting. We’re all going to be hurting for a long time. And we, probably more than anyone else out there, will be searching for a new reality every day. A better one.	sad
655	HOW CAN YOU BE SO IGNORANT.	angry
656	Hey! I had a shoes like those once, then my father got a job.	sar
657	I hope you are proud of yourself, because I am!	happy
658	I am very happy.	happy
659	It’s not that they’re ugly. It’s just that everybody else is better looking.	sar
660	You're better than a triple-scoop ice cream cone. With sprinkles.	happy
661	Keep your shirt on.	angry
662	THIS IS UNACCEPTABLE.	angry
663	Respect yourself enough to walk away from anything that no longer serves you, grows you, or makes you happy.	sad
664	I never forget a face, but in your case I’ll be glad to make an exception.	sar
665	Your kids are so nice, thoughtful or well-behaved.	happy
666	So did you choose today to humiliate yourself in public?	sar
667	You're one of a kind!	happy
668	How very observant of you there captain obvious.	sar
669	THERE IS A LIMIT TO HOW SELFISH YOU CAN BE.	angry
670	You help me be the best version of myself.	happy
671	Do I get bonus points if I act like I care?	sar
672	Early to bed early to rise just means you didn’t get invited to the party.	sar
673	You are one of the bravest people I know.	happy
674	You all smoke to enjoy. I smoke to die.	sad
675	You have the best smile.	happy
676	You knew exactly what you were doing; that’s what hurts the most in Life.	sad
677	I am depressed	sad
678	How do you keep being so funny and making everyone laugh?	happy
679	Being hated and ignored by many, makes my life a lot more easier to handle.	sar
680	Awww that`s so cute! you actually think I care…	sar
681	It's a bad day	sad
682	Tell me… Is being stupid a profession or are you just gifted?	sar
683		angry
684	You sound better with your mouth closed.	sar
685	It hurts to breathe because every breath I take proves I can’t live without you.	sad
686	Who raised you? They deserve a medal for a job well done.	happy
687	I like the way you are.	happy
688	That thing you don't like about yourself is what makes you so interesting.	happy
689	You are making a difference.	happy
690	It’s your lie…tell it however you want!	sar
691	I am busy right now, can I ignore you some other time?	sar
692	Sometimes I need what only you can provide: your absence.	sar
693	Tell me what gave you the impression that I actually care, so I can avoid it next time.	sar
694	Tears are words the heart can’t express.	sad
695	Colors seem brighter when you're around.	happy
696	Think I am sarcastic? Watch me pretend to care!	sar
697	You're someone's reason to smile.	happy
698	My sister will die over and over again for the rest of my life. Grief is forever. It doesn’t go away; it becomes a part of you, step for step, breath for breath. I will never stop grieving Bailey because I will never stop loving her. That’s just how it is. Grief and love are conjoined, you don’t get one without the other. All I can do is love her, and love the world, emulate her by living with daring and spirit and joy.	sad
699	Dear past stop tapping me on the back, I don't want to look back.	sad
700	I’m married but it’s not serious.	sar
701	I am not me anymore.	sad
702	My sadness has become an addiction when i’m not sad, I feel lost.I start to panic trying to find my way back which leads me back to my original state : sadness!	sad
703	You are strong.	happy
704	Depression is the inability to construct a future.	sad
705	When people ask me stupid questions, it is my legal obligation to give a sarcastic remark.	sar
706	I enjoy spending time with you.	happy
707	Life is short, there is no time to leave important words unsaid.	sad
708	It requires more courage to suffer than to die.	sad
709	You just light up the room.	happy
710	Don’t waste your time on revenge. Those who hurt you will eventually face their own karma.	sad
711	We have a love and hate relationship….. He loves me, I hate him.	sar
712	You are really kind to people around you.	happy
713	Everything would be better if more people were like you!	happy
714	I will not let you go on like this.	angry
715	Nothing thicker than a knife’s blade separates happiness from melancholy.	sad
716	I just want to disappear.	sad
717	Mirrors can’t talk, lucky for you they can’t laugh either.	sar
718	If you love me won’t you let me know..!!	sad
719	It is better to have loved and lost, than never to have loved at all.	sad
720	My two most hated words «I promise». It doesn’t mean something!	sad
721	Look how far you've come!	happy
722	9 more hours and I can start behaving normally again.	sar
723	Have you ever wondered what a human life is worth? That morning, my brother’s was worth a pocket watch.	sad
724	It’s getting harder to hide pain	sad
725	I love parents’ way of saying you have got a point “Don’t talk back at me!!”	sar
726	And who told you you were intelligent?????	sar
